Wall time,Step,Value
1695143255.1769624,5,-1275.018798828125
1695143282.399568,6,-592.447265625
1695143389.4884124,10,-1684.7425537109375
1695143416.2963946,11,-1407.0050048828125
1695143469.8582664,13,-1546.0150146484375
1695143496.6136568,14,-1800.261474609375
1695143524.117675,15,-1462.6983642578125
1695143579.201349,17,-788.0510864257812
1695143606.627129,18,-768.733642578125
1695143634.0815995,19,-772.009521484375
1695143661.533526,20,-773.12890625
1695143771.4873867,24,-774.9229125976562
1695144019.1820729,33,-773.92919921875
1695144046.6160655,34,-774.3179931640625
1695144101.5905962,36,-774.6976928710938
1695144184.0420063,39,-774.3408813476562
1695144211.526663,40,-774.8584594726562
1695144266.5235713,42,-774.1405639648438
1695144321.5534668,44,-775.0360717773438
1695144349.0203788,45,-774.949951171875
1695144404.022167,47,-863.7234497070312
1695144459.0838692,49,-711.1768798828125
1695144486.5801387,50,-530.8157958984375
1695144569.0844667,53,-417.71380615234375
1695144596.5184503,54,-380.84149169921875
1695144623.9931428,55,-301.5050048828125
1695144651.5100827,56,-322.5102844238281
1695144679.0550802,57,-313.727294921875
1695144761.7302368,60,-307.70404052734375
1695144789.278384,61,-340.76629638671875
1695144844.3924713,63,-310.3672790527344
1695144903.415209,65,-274.38812255859375
1695144930.859625,66,-274.433349609375
1695144958.4252555,67,-267.0407409667969
1695144985.9502468,68,-265.1105651855469
1695145068.4359105,71,-256.4685974121094
1695145095.941215,72,-251.8417510986328
1695145114.2914062,73,2017.549560546875
1695145141.8235693,74,-264.83514404296875
1695145163.408197,76,2120.55322265625
1695145192.4248405,79,1818.4146728515625
1695145215.036823,84,2120.636962890625
1695145220.9626777,85,2109.47119140625
1695145225.2413425,86,2121.29638671875
1695145229.5592158,87,2121.3623046875
1695145233.8559675,88,2121.4853515625
1695145238.1509762,89,2321.2255859375
1695145259.7551742,94,2121.712890625
1695145294.208962,102,2121.367431640625
1695145307.18487,105,2121.078125
1695145311.4622884,106,2121.294921875
1695145341.6046636,113,2121.1591796875
1695145354.5148802,116,2120.892333984375
1695145363.1217945,118,2121.208984375
1695145367.426635,119,2121.440185546875
1695145371.7118523,120,2121.080078125
1695145388.937731,124,2321.316162109375
1695145393.2287772,125,2121.02587890625
1695145397.5391703,126,2321.007568359375
1695145410.4045997,129,2321.45947265625
1695145414.6847353,130,2121.164306640625
1695145427.6553447,133,2321.39306640625
1695145444.8626373,137,2321.3095703125
1695145453.4482098,139,2121.09912109375
1695145462.0663776,141,2121.32568359375
1695145466.343976,142,2121.029541015625
1695145470.6589706,143,2121.2197265625
1695145474.9766214,144,2121.108642578125
1695145492.1748586,148,2121.033447265625
1695145500.8731253,150,2121.296142578125
1695145513.7805822,153,2121.865234375
1695145518.1267962,154,2322.147705078125
1695145522.4497337,155,2122.033447265625
1695145531.0223744,157,2322.567138671875
1695145535.345167,158,2322.415771484375
1695145539.6596012,159,2322.453125
1695145552.5726535,162,2320.821533203125
1695145561.6913013,164,1915.782958984375
1695145566.5168266,165,1916.3748779296875
1695145575.1174715,167,2120.396240234375
1695145579.4029071,168,2120.097900390625
1695145592.825755,171,2120.0712890625
1695145614.351521,176,2120.45751953125
1695145618.6435034,177,2120.36279296875
1695145622.9333363,178,2120.025146484375
1695145631.5166361,180,2120.393310546875
1695145635.809641,181,2120.38623046875
1695145644.4633932,183,2320.346435546875
1695145653.0986774,185,2320.798095703125
1695145657.412708,186,2320.732666015625
1695145661.7329502,187,2320.386962890625
1695145666.050844,188,2320.662353515625
1695145674.6692958,190,2320.88818359375
1695145678.996171,191,2120.74853515625
1695145709.08276,198,2320.7890625
1695145726.3015664,202,2321.14892578125
1695145743.4559557,206,2320.9287109375
1695145747.753728,207,2321.31591796875
1695145752.0519166,208,2321.178955078125
1695145769.2865267,212,2320.548583984375
1695145782.2089014,215,2321.43603515625
1695145795.1335726,218,2321.322021484375
1695145799.447911,219,2321.444580078125
1695145812.3748755,222,2321.2109375
1695145816.6790428,223,2321.4228515625
1695145825.2828822,225,2321.492431640625
1695145829.5611403,226,2321.324951171875
1695145833.9085734,227,2321.044189453125
1695145842.5041752,229,2321.25341796875
1695145846.8005967,230,2321.4462890625
1695145855.3822596,232,2321.35400390625
1695145859.6697779,233,2321.268798828125
1695145863.9823563,234,2321.36376953125
1695145876.8750618,237,2321.47119140625
1695145889.7649448,240,2321.432373046875
1695145911.2781641,245,2321.684326171875
1695145919.891455,247,2321.732666015625
1695145928.5036583,249,2321.612548828125
1695145932.7837481,250,2321.572998046875
1695145954.2756631,255,2321.4521484375
1695145967.1537824,258,2321.80029296875
1695145971.4755447,259,2321.653076171875
1695145975.7975225,260,2321.728515625
1695145980.0940046,261,2321.869140625
1695145988.728164,263,2321.968017578125
1695146005.9275088,267,2321.768310546875
1695146014.5420282,269,2322.111572265625
1695146023.13962,271,2321.91259765625
1695146031.7453046,273,2321.7734375
1695146053.2896955,278,2321.769287109375
1695146061.8958387,280,2321.627685546875
1695146079.0768018,284,2322.109130859375
1695146100.5621877,289,2321.9951171875
1695146109.1939533,291,2321.94091796875
1695146113.4928477,292,2321.97998046875
1695146126.4311342,295,2322.2177734375
1695146135.0129774,297,2322.0966796875
1695146139.2945578,298,2322.081787109375
1695146143.590326,299,2322.243896484375
1695146152.1837714,301,2322.090576171875
1695146156.4611464,302,2321.977294921875
1695146160.7870357,303,2322.06103515625
